"","Max_diff_time_hours","Value_min","Value_max","Range","Sd","Median","cluster"
"1",0.187382071446692,0.153225806451612,0.310160427807487,0.442307692307692,0.137931034482759,0.195652173913044,"1"
"2",0.173245798451758,0.137096774193548,0.294117647058824,0.423076923076923,0.241379310344828,0.210144927536232,"1"
"3",0.173245798451758,0.137096774193548,0.299465240641712,0.432692307692308,0.413793103448277,0.239130434782609,"1"
"4",0.173245798451758,0.129032258064516,0.46524064171123,0.740384615384616,0.517241379310346,0.32608695652174,"1"
"5",0.173245798451758,0.120967741935484,0.46524064171123,0.75,0.482758620689656,0.347826086956522,"1"
"6",0.0343114257820007,0.120967741935484,0.46524064171123,0.75,0.379310344827587,0.304347826086956,"1"
"7",0.0343114257820007,0.120967741935484,0.46524064171123,0.75,0.241379310344828,0.181159420289855,"1"
"8",0.0343114257820007,0.120967741935484,0.363636363636363,0.567307692307692,0.172413793103449,0.072463768115943,"1"
"9",0,0.129032258064516,0.251336898395721,0.355769230769231,0.206896551724138,0.0579710144927536,"1"
"10",0,0.112903225806452,0.352941176470588,0.567307692307692,0.275862068965518,0.0362318840579715,"1"
"11",0.201968484736668,0.112903225806452,0.352941176470588,0.567307692307692,0.379310344827587,0.0797101449275371,"1"
"12",0.201968484736668,0.112903225806452,0.352941176470588,0.567307692307692,0.482758620689656,0.195652173913044,"1"
"13",0.201968484736668,0.112903225806452,0.352941176470588,0.567307692307692,0.551724137931035,0.217391304347826,"1"
"14",0.201968484736668,0.129032258064516,0.320855614973263,0.480769230769231,0.689655172413793,0.282608695652174,"1"
"15",0.208211508037176,0.137096774193548,0.363636363636363,0.557692307692308,0.724137931034483,0.289855072463768,"1"
"16",0.208211508037176,0.137096774193548,0.363636363636363,0.557692307692308,0.724137931034483,0.260869565217392,"1"
"17",0.26441494122983,0.129032258064516,0.363636363636363,0.567307692307692,0.655172413793104,0.246376811594203,"1"
"18",0.26441494122983,0.129032258064516,0.363636363636363,0.567307692307692,0.517241379310346,0.224637681159421,"1"
"19",0.26441494122983,0.129032258064516,0.358288770053477,0.548076923076923,0.482758620689656,0.253623188405798,"1"
"20",0.26441494122983,0.120967741935484,0.358288770053477,0.557692307692308,0.517241379310346,0.282608695652174,"1"
"21",0.305081285025714,0.10483870967742,0.358288770053477,0.576923076923077,0.517241379310346,0.297101449275362,"1"
"22",0.305081285025714,0.10483870967742,0.358288770053477,0.576923076923077,0.586206896551724,0.333333333333334,"1"
"23",0.305081285025714,0.10483870967742,0.25668449197861,0.394230769230769,0.448275862068966,0.268115942028986,"1"
"24",0.305081285025714,0.10483870967742,0.25668449197861,0.394230769230769,0.310344827586207,0.239130434782609,"1"
"25",0.220132958188234,0.10483870967742,0.245989304812835,0.384615384615385,0.413793103448277,0.253623188405798,"1"
"26",0.220132958188234,0.10483870967742,0.320855614973263,0.509615384615385,0.517241379310346,0.195652173913044,"1"
"27",0.220132958188234,0.10483870967742,0.320855614973263,0.509615384615385,0.655172413793104,0.217391304347826,"1"
"28",0.220132958188234,0.10483870967742,0.320855614973263,0.509615384615385,0.689655172413793,0.188405797101449,"1"
"29",0.165185132569206,0.10483870967742,0.491978609625669,0.817307692307692,0.620689655172414,0.166666666666667,"1"
"30",0.180401060861143,0.10483870967742,0.491978609625669,0.817307692307692,0.689655172413793,0.224637681159421,"1"
"31",0.180401060861143,0.0967741935483879,0.491978609625669,0.836538461538462,0.965517241379311,0.289855072463768,"1"
"32",0.14595552993089,0.0967741935483879,0.401069518716577,0.673076923076923,0.758620689655173,0.268115942028986,"1"
"33",0.14595552993089,0.112903225806452,0.347593582887701,0.548076923076923,0.586206896551724,0.210144927536232,"1"
"34",0.14595552993089,0.112903225806452,0.347593582887701,0.548076923076923,0.551724137931035,0.239130434782609,"1"
"35",0.14201531022501,0.112903225806452,0.347593582887701,0.548076923076923,0.413793103448277,0.231884057971015,"1"
"36",0.154374087313485,0.112903225806452,0.310160427807487,0.480769230769231,0.310344827586207,0.246376811594203,"1"
"37",0.154374087313485,0.120967741935484,0.229946524064171,0.326923076923077,0.275862068965518,0.268115942028986,"1"
"38",0.209709696117095,0.112903225806452,0.229946524064171,0.336538461538461,0.241379310344828,0.239130434782609,"1"
"39",0.209709696117095,0.112903225806452,0.229946524064171,0.336538461538461,0.241379310344828,0.224637681159421,"1"
"40",0.539112206821799,0.112903225806452,0.13903743315508,0.173076923076923,0.241379310344828,0.217391304347826,"1"
"41",0.539112206821799,0.112903225806452,0.13903743315508,0.173076923076923,0.275862068965518,0.217391304347826,"1"
"42",0.539112206821799,0.112903225806452,0.197860962566845,0.278846153846154,0.448275862068966,0.217391304347826,"1"
"43",0.318665774928315,0.0887096774193544,0.347593582887701,0.576923076923077,0.965517241379311,0.456521739130435,"1"
