"","x"
"1",546.760769442823
"2",424.409073837848
"3",359.080470848529
"4",305.2782699473
"5",275.666315794139
"6",253.055962851064
"7",236.144330041737
"8",221.594156755095
"9",209.048122413636
"10",196.901923858899
"11",187.354054550705
"12",178.370298004068
"13",172.788375798031
"14",167.029881986459
"15",161.756948864932
"16",156.653888781162
"17",151.829654257353
"18",146.961400851598
"19",142.745732795616
"20",138.618961296951
