"","timestamp","value","cluster"
"76970",2019-03-19 16:04:56,397,"2"
"70774",2019-03-15 04:09:02,653,"4"
"70667",2019-03-15 04:00:58,645,"4"
"94971",2019-04-01 00:18:35,7136,"1"
"89468",2019-03-27 07:21:54,7055,"4"
"96304",2019-04-02 02:56:39,7017,"4"
"76779",2019-03-19 15:41:48,408,"2"
"63389",2019-03-08 21:55:31,7665,"7"
"94001",2019-03-31 04:32:58,4918,"3"
"93123",2019-03-30 17:54:32,6919,"4"
"103174",2019-04-07 10:13:43,6781,"4"
"76839",2019-03-19 15:47:32,397,"2"
"92983",2019-03-30 14:31:21,6860,"1"
"99212",2019-04-03 09:12:42,7306,"4"
"96818",2019-04-02 14:01:13,7306,"4"
"78939",2019-03-20 15:24:53,385,"2"
"75190",2019-03-18 10:28:52,1871,"4"
"88018",2019-03-26 02:33:00,7276,"1"
"81617",2019-03-21 03:28:52,3578,"2"
"84991",2019-03-23 19:19:38,6802,"4"
"63528",2019-03-09 00:36:49,7198,"5"
"67919",2019-03-13 06:35:42,7444,"4"
"76278",2019-03-19 05:21:47,527,"6"
"67373",2019-03-12 19:26:55,7754,"7"
"68484",2019-03-13 16:25:58,7411,"4"
"101683",2019-04-05 23:24:07,7260,"3"
"92085",2019-03-29 18:33:43,6250,"4"
"64367",2019-03-09 21:14:04,7608,"5"
"62349",2019-03-07 20:30:24,7307,"4"
"89063",2019-03-26 23:58:31,6402,"3"
"64572",2019-03-10 01:52:56,7336,"5"
"82250",2019-03-21 13:59:54,6121,"3"
"95065",2019-04-01 02:08:09,7063,"3"
"90479",2019-03-28 07:48:19,6711,"4"
"63857",2019-03-09 08:17:52,7802,"5"
"91456",2019-03-29 05:21:47,6970,"3"
"99699",2019-04-03 22:31:47,7403,"4"
"75889",2019-03-18 17:12:37,385,"2"
"100916",2019-04-05 06:32:19,6784,"1"
"93223",2019-03-30 19:50:53,6905,"4"
"98420",2019-04-02 17:19:08,3134,"6"
"96811",2019-04-02 13:51:49,7213,"1"
"64340",2019-03-09 20:12:23,7744,"5"
"70056",2019-03-15 03:09:53,609,"6"
"84578",2019-03-23 12:19:28,7477,"1"
"74863",2019-03-18 06:40:38,7318,"4"
"65591",2019-03-10 22:35:23,7284,"4"
"71604",2019-03-15 10:18:48,7468,"4"
"98543",2019-04-02 18:35:10,7106,"3"
"90083",2019-03-27 21:50:39,7081,"4"
"66890",2019-03-12 08:00:49,7506,"5"
"94963",2019-04-01 00:06:43,7298,"3"
"101688",2019-04-05 23:38:51,7678,"4"
"69568",2019-03-14 16:20:37,7574,"5"
"64774",2019-03-10 06:05:52,7561,"4"
"68584",2019-03-13 18:06:47,7709,"4"
"81127",2019-03-21 00:14:22,397,"6"
"85640",2019-03-24 08:30:02,7221,"1"
"99969",2019-04-04 05:09:00,7141,"3"
"97403",2019-04-02 15:51:15,660,"2"
"79630",2019-03-20 16:58:23,385,"5"
"80146",2019-03-20 18:31:28,397,"4"
"79639",2019-03-20 17:02:11,385,"4"
"87519",2019-03-25 14:24:49,2509,"4"
"94047",2019-03-31 05:27:38,5976,"1"
"95197",2019-04-01 04:46:32,7265,"4"
"81649",2019-03-21 03:52:29,3704,"2"
"74360",2019-03-17 15:50:40,7174,"4"
"101171",2019-04-05 12:20:28,6934,"3"
"82716",2019-03-21 21:04:48,7062,"5"
"101756",2019-04-06 00:49:33,7036,"3"
"89171",2019-03-27 01:31:44,7407,"5"
"80723",2019-03-20 20:42:30,441,"2"
"90074",2019-03-27 21:44:22,6805,"1"
"81401",2019-03-21 00:57:10,385,"2"
"86929",2019-03-25 13:15:47,3850,"1"
"95048",2019-04-01 01:44:08,6995,"1"
"68570",2019-03-13 17:42:35,7885,"5"
"86219",2019-03-24 21:41:38,7506,"3"
"79622",2019-03-20 16:57:23,408,"2"
"91151",2019-03-28 22:55:09,7267,"1"
"67937",2019-03-13 06:55:53,7167,"5"
"101770",2019-04-06 01:09:08,7369,"3"
"90048",2019-03-27 21:07:14,7072,"5"
"98131",2019-04-02 16:54:07,667,"6"
"86787",2019-03-25 11:11:30,7305,"7"
"69448",2019-03-14 13:21:57,7393,"5"
"74506",2019-03-17 19:52:36,7291,"4"
"69570",2019-03-14 16:26:37,7738,"4"
"94019",2019-03-31 04:41:38,5967,"3"
"68954",2019-03-14 02:10:54,7421,"5"
"63102",2019-03-08 15:21:41,7736,"4"
"65113",2019-03-10 13:12:15,7089,"4"
"92003",2019-03-29 17:17:22,7130,"3"
"82667",2019-03-21 20:16:15,7326,"4"
"100464",2019-04-04 17:47:08,7230,"3"
"71280",2019-03-15 05:28:07,674,"2"
"84749",2019-03-23 16:08:39,7293,"1"
"63176",2019-03-08 16:56:46,7779,"5"
"84190",2019-03-23 02:30:39,7777,"3"
"83684",2019-03-22 15:11:37,7304,"4"
"77555",2019-03-20 11:44:15,408,"2"
"102677",2019-04-06 21:31:18,6806,"1"
"64801",2019-03-10 06:47:16,7455,"5"
"64010",2019-03-09 11:53:19,7684,"4"
"91177",2019-03-28 23:34:34,6941,"3"
"101230",2019-04-05 13:43:25,7244,"4"
"88884",2019-03-26 21:01:44,7326,"5"
"93519",2019-03-31 00:50:10,674,"6"
"84332",2019-03-23 06:20:31,6749,"7"
"102602",2019-04-06 19:59:37,6871,"3"
"95728",2019-04-01 15:30:45,6995,"4"
"85984",2019-03-24 16:55:53,7238,"4"
"86231",2019-03-24 21:58:10,7350,"4"
"65355",2019-03-10 17:42:14,7794,"5"
"85759",2019-03-24 11:14:09,7449,"3"
"79170",2019-03-20 15:49:46,408,"2"
"83978",2019-03-22 20:55:06,7569,"1"
"80991",2019-03-20 23:21:25,408,"2"
"100995",2019-04-05 07:40:04,7143,"1"
"96642",2019-04-02 09:51:05,7171,"4"
"89643",2019-03-27 11:18:37,7277,"4"
"90976",2019-03-28 19:11:18,7203,"4"
"88717",2019-03-26 17:39:57,6985,"4"
"91902",2019-03-29 14:07:43,7068,"4"
"85903",2019-03-24 14:44:31,7005,"4"
"73166",2019-03-16 23:39:25,694,"2"
"75623",2019-03-18 12:02:10,397,"4"
"89164",2019-03-27 01:28:16,7299,"1"
"64326",2019-03-09 20:03:43,6995,"5"
"87601",2019-03-25 15:07:10,5667,"3"
"91497",2019-03-29 06:09:19,6752,"4"
"92401",2019-03-30 01:46:17,7293,"4"
"81783",2019-03-21 06:02:39,5788,"5"
"73076",2019-03-16 22:43:33,720,"2"
"102899",2019-04-07 02:51:16,7764,"1"
"70903",2019-03-15 04:18:42,667,"2"
"97725",2019-04-02 16:18:52,674,"3"
"68368",2019-03-13 14:18:45,7767,"7"
"73057",2019-03-16 20:14:42,793,"6"
"77219",2019-03-20 03:28:58,397,"4"
"99644",2019-04-03 20:09:20,7216,"1"
"70100",2019-03-15 03:15:29,616,"2"
"99922",2019-04-04 04:26:08,7172,"1"
"91056",2019-03-28 20:37:51,6975,"4"
"82090",2019-03-21 11:10:11,5383,"4"
"69463",2019-03-14 13:49:37,7161,"4"
"72061",2019-03-15 20:14:22,7039,"4"
"88668",2019-03-26 16:56:25,7422,"3"
"83281",2019-03-22 06:13:52,7159,"4"
"84610",2019-03-23 12:52:48,7326,"4"
"64943",2019-03-10 09:59:31,7711,"5"
"85178",2019-03-23 22:54:25,7160,"3"
"69182",2019-03-14 06:34:51,7722,"5"
"69141",2019-03-14 05:53:26,7169,"4"
"80384",2019-03-20 19:43:53,385,"6"
"86525",2019-03-25 05:48:13,7383,"1"
"76710",2019-03-19 15:34:33,397,"2"
"73394",2019-03-17 00:34:54,674,"4"
"75840",2019-03-18 17:04:21,373,"4"
"71189",2019-03-15 05:08:35,667,"4"
"65506",2019-03-10 20:50:09,7503,"7"
"69076",2019-03-14 04:44:33,7239,"4"
"90546",2019-03-28 09:42:05,7065,"3"
"93468",2019-03-31 00:45:26,687,"6"
"97771",2019-04-02 16:22:59,660,"4"
"66389",2019-03-11 19:18:02,7215,"7"
"98422",2019-04-02 17:20:32,3040,"3"
"77748",2019-03-20 12:33:03,397,"5"
"87676",2019-03-25 16:25:51,7161,"1"
"70972",2019-03-15 04:24:39,674,"2"
"77890",2019-03-20 12:52:15,385,"4"
"77587",2019-03-20 11:51:30,397,"4"
"66989",2019-03-12 10:38:19,7537,"7"
