Sample_Index,Max_diff_time_hours,Time_period,Value_min,Value_max,Range,Mean,Sd,Median
339,0.181752778,27.13,9.49,16.39,6.9,11.83,1.74,11.49
340,0.181752778,25.84,9.49,16.34,6.85,11.89,1.74,11.6
341,0.181752778,25.08,9.5,16.34,6.84,11.89,1.76,11.6
342,0.197736944,24.83,9.5,16.34,6.84,11.9,1.74,11.64
343,0.197736944,23.32,9.52,16.22,6.7,11.93,1.74,11.69
344,0.197736944,23.83,9.51,16.54,7.03,11.96,1.77,11.71
345,0.197736944,22.72,9.5,16.54,7.03,12.06,1.79,11.83
346,0.220923056,21.84,9.5,16.54,7.03,12.09,1.81,11.82
347,0.220923056,21.99,9.5,17.01,7.51,12.21,1.82,11.92
348,0.220923056,22.94,9.5,17.48,7.97,12.35,1.86,12.04
349,0.220923056,23.74,9.52,17.48,7.96,12.47,1.85,12.14
350,0.141916667,24.59,9.57,17.48,7.91,12.64,1.84,12.31
351,0.160539722,25.48,10.08,17.48,7.4,12.68,1.86,12.34
352,0.160539722,24.1,10.02,16.96,6.95,12.68,1.82,12.42
353,0.161611944,23.13,10,16.96,6.97,12.7,1.83,12.45
354,0.237955556,26.13,9.98,16.96,6.99,12.58,1.84,12.36
355,0.237955556,25.91,9.98,17.05,7.08,12.52,1.82,12.28
356,0.291753889,26.41,9.98,17.05,7.08,12.58,1.84,12.35
357,0.291753889,26.84,9.98,17.05,7.08,12.64,1.87,12.46
358,0.291753889,25.28,9.92,17.05,7.13,12.73,1.9,12.52
359,0.291753889,26.36,9.9,16.95,7.05,12.75,1.89,12.59
360,0.181214722,28.24,9.9,17.13,7.23,12.68,1.89,12.44
361,0.181214722,28.19,9.9,17.13,7.23,12.65,1.9,12.38
362,0.181214722,27.05,9.82,17.13,7.31,12.69,1.87,12.49
363,0.434681389,27.7,9.79,17.13,7.34,12.67,1.93,12.48
364,0.434681389,28.37,9.78,16.98,7.2,12.58,1.93,12.4
365,0.434681389,29.55,9.76,16.8,7.04,12.48,1.87,12.27
366,0.434681389,28.8,9.72,16.85,7.13,12.41,1.87,12.16
367,0.194786111,25.64,9.67,16.85,7.18,12.39,1.82,12.15
368,0.1807925,24.87,9.55,16.85,7.3,12.31,1.85,12.04
369,0.200155556,25.75,9.54,16.85,7.31,12.22,1.89,11.93
370,6.283023056,30.9,9.54,16.81,7.27,12.15,1.87,11.86
371,6.283023056,30.78,9.54,16.81,7.27,12.1,1.87,11.78
372,6.283023056,27.64,9.54,16.86,7.31,12.22,1.88,12.01
373,6.283023056,25.92,9.55,16.86,7.31,12.25,1.88,12.06
374,0.316928611,21.73,9.54,16.86,7.32,12.23,1.89,12
375,0.183709444,21.88,9.54,17.06,7.52,12.25,1.9,12.01
376,0.183709444,22.43,9.54,17.06,7.52,12.24,1.89,11.98
377,0.216319444,22.96,9.52,17.06,7.54,12.17,1.88,11.88
378,0.216319444,21.82,9.52,17.06,7.54,12.11,1.85,11.84
379,0.216319444,21.83,9.52,16.7,7.18,12.12,1.85,11.84
380,0.216319444,22.81,9.52,16.6,7.08,12.03,1.84,11.7
381,0.184903611,22.17,9.52,16.6,7.08,12.07,1.87,11.7
382,6.386509167,30.56,9.51,16.91,7.41,12.16,1.89,11.88
