"Name","Length"
"T10_804_R1328.H5",66
"T10_804_R1336.H5",54
"T10_804_R1340.H5",51
"T10_804_R1344.H5",48
"T10_804_R1348.H5",37
"T10_804_R1352.H5",52
"T10_804_R1356.H5",48
"T10_804_R136.H5",97
"T10_804_R1366.H5",883
"T10_804_R1372.H5",130
"T10_804_R1376.H5",114
"T10_804_R1384.H5",52
"T10_804_R1388.H5",60
"T10_804_R1396.H5",56
"T10_804_R140.H5",80
"T10_804_R1400.H5",47
"T10_804_R1404.H5",47
"T10_804_R1408.H5",35
"T10_804_R1412.H5",49
"T10_804_R1416.H5",46
"T10_804_R1426.H5",36
"T10_804_R1432.H5",127
"T10_804_R1436.H5",122
"T10_804_R144.H5",80
"T10_804_R1444.H5",58
"T10_804_R1448.H5",62
"T10_804_R1456.H5",60
"T10_804_R1460.H5",52
"T10_804_R1464.H5",52
"T10_804_R1468.H5",44
"T10_804_R1472.H5",61
"T10_804_R1476.H5",59
"T10_804_R148.H5",52
"T10_804_R1486.H5",347
"T10_804_R1492.H5",1460
"T10_804_R1496.H5",1409
"T10_804_R1504.H5",586
"T10_804_R1508.H5",916
"T10_804_R1516.H5",914
"T10_804_R152.H5",86
"T10_804_R1520.H5",903
"T10_804_R1524.H5",906
"T10_804_R1528.H5",896
"T10_804_R1532.H5",905
"T10_804_R1536.H5",904
"T10_804_R1546.H5",35
"T10_804_R1552.H5",4731
"T10_804_R1556.H5",3171
"T10_804_R156.H5",82
"T10_804_R1564.H5",908
"T10_804_R1568.H5",915
"T10_804_R1576.H5",912
"T10_804_R1580.H5",905
"T10_804_R1584.H5",906
"T10_804_R1588.H5",897
"T10_804_R1592.H5",909
"T10_804_R1596.H5",908
"T10_804_R1606.H5",893
"T10_804_R1612.H5",962
"T10_804_R1616.H5",952
"T10_804_R1624.H5",916
"T10_804_R1628.H5",920
"T10_804_R1636.H5",913
"T10_804_R1640.H5",907
"T10_804_R1644.H5",904
"T10_804_R1648.H5",892
"T10_804_R1652.H5",902
"T10_804_R1656.H5",899
"T10_804_R166.H5",52
"T10_804_R1666.H5",34
"T10_804_R1676.H5",1053
"T10_804_R1684.H5",906
"T10_804_R1688.H5",917
"T10_804_R1696.H5",899
"T10_804_R1700.H5",898
"T10_804_R1704.H5",899
"T10_804_R1708.H5",889
"T10_804_R1712.H5",902
"T10_804_R1716.H5",898
"T10_804_R172.H5",1118
"T10_804_R1726.H5",31
"T10_804_R1732.H5",2820
"T10_804_R1736.H5",2605
"T10_804_R1744.H5",893
"T10_804_R1748.H5",900
"T10_804_R1756.H5",890
"T10_804_R176.H5",1185
"T10_804_R1760.H5",890
"T10_804_R1764.H5",889
"T10_804_R1768.H5",877
"T10_804_R1772.H5",897
"T10_804_R1776.H5",890
"T10_804_R1786.H5",35
"T10_804_R1804.H5",885
"T10_804_R1808.H5",899
"T10_804_R1816.H5",881
"T10_804_R1820.H5",884
"T10_804_R1824.H5",885
"T10_804_R1828.H5",872
"T10_804_R1832.H5",906
"T10_804_R1836.H5",900
"T10_804_R184.H5",82
"T10_804_R1846.H5",890
"T10_804_R1852.H5",943
"T10_804_R1856.H5",934
"T10_804_R1864.H5",893
"T10_804_R1868.H5",901
"T10_804_R1876.H5",883
"T10_804_R188.H5",183
"T10_804_R1880.H5",883
"T10_804_R1884.H5",883
"T10_804_R1888.H5",868
"T10_804_R1892.H5",910
"T10_804_R1896.H5",903
"T10_804_R1906.H5",32
"T10_804_R1912.H5",1061
"T10_804_R1916.H5",1052
"T10_804_R196.H5",85
"T10_804_R200.H5",71
"T10_804_R204.H5",71
"T10_804_R208.H5",40
"T10_804_R212.H5",72
"T10_804_R216.H5",67
"T10_804_R226.H5",55
"T10_804_R236.H5",2047
"T10_804_R244.H5",83
"T10_804_R248.H5",122
"T10_804_R256.H5",82
"T10_804_R260.H5",74
"T10_804_R264.H5",65
"T10_804_R268.H5",40
"T10_804_R272.H5",80
"T10_804_R276.H5",75
"T10_804_R286.H5",49
"T10_804_R292.H5",1005
"T10_804_R296.H5",993
"T10_804_R304.H5",74
"T10_804_R308.H5",115
"T10_804_R316.H5",72
"T10_804_R320.H5",61
"T10_804_R324.H5",60
"T10_804_R328.H5",29
"T10_804_R332.H5",916
"T10_804_R336.H5",911
"T10_804_R346.H5",43
"T10_804_R356.H5",1327
"T10_804_R364.H5",74
"T10_804_R368.H5",109
"T10_804_R376.H5",70
"T10_804_R380.H5",60
"T10_804_R384.H5",57
"T10_804_R388.H5",34
"T10_804_R392.H5",63
"T10_804_R396.H5",58
"T10_804_R406.H5",51
"T10_804_R412.H5",3492
"T10_804_R416.H5",3195
"T10_804_R424.H5",77
"T10_804_R428.H5",115
"T10_804_R436.H5",80
"T10_804_R440.H5",62
"T10_804_R444.H5",57
"T10_804_R448.H5",29
"T10_804_R452.H5",54
"T10_804_R456.H5",50
"T10_804_R466.H5",47
"T10_804_R472.H5",994
"T10_804_R476.H5",984
"T10_804_R484.H5",916
"T10_804_R488.H5",959
"T10_804_R496.H5",923
"T10_804_R500.H5",909
"T10_804_R504.H5",483
"T10_804_R508.H5",32
"T10_804_R512.H5",62
"T10_804_R516.H5",56
"T10_804_R526.H5",38
"T10_804_R532.H5",990
"T10_804_R536.H5",984
"T10_804_R544.H5",56
"T10_804_R548.H5",960
"T10_804_R556.H5",55
"T10_804_R560.H5",52
"T10_804_R564.H5",50
"T10_804_R568.H5",32
"T10_804_R572.H5",59
"T10_804_R576.H5",55
"T10_804_R586.H5",43
"T10_804_R592.H5",985
"T10_804_R596.H5",980
"T10_804_R604.H5",53
"T10_804_R608.H5",939
"T10_804_R616.H5",40
"T10_804_R620.H5",43
"T10_804_R624.H5",46
"T10_804_R628.H5",23
"T10_804_R632.H5",48
"T10_804_R636.H5",44
"T10_804_R646.H5",39
"T10_804_R652.H5",1849
"T10_804_R656.H5",1748
"T10_804_R664.H5",54
"T10_804_R668.H5",951
"T10_804_R676.H5",46
"T10_804_R680.H5",43
