"","num","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff","dct_coeff"
"1",1,-0.0487628471833921,-0.0643787517125542,-0.0526134513606967,-0.0868906930110514,-0.0982190146126175,-0.104321658605478,-0.109319591260775,-0.0961043066143029,-0.0390253664905911,-0.0693988529778476,-0.072001935965785,-0.065965923282702,-0.134072852093459,-0.106836007155487,-0.086772134727273,-0.0732708374357283,-0.0674104636706245,-0.0613920691792118,-0.0579425331187045,0.0225841041125875,-0.0394309290759648,-0.13921984926842,-0.10416152142587,-0.135142885101783,-0.107423995556779,-0.108686925878504,-0.134693744562363,-0.116938695974586
"2",2,0.0346707869437727,0.0326354582440936,0.0208951045441661,0.0578885582266968,0.0871304411680866,0.0985506680677577,0.130639259122161,0.121674149239603,0.0963357872132519,0.0673879201781682,0.0228766686789037,0.0360073004751204,0.0586944168324226,0.0970569617838874,0.140474566660396,0.107952268225402,0.135096943676156,0.0276694990399705,0.0175062576222423,0.0230312552844079,0.0301875261332616,0.0586763826969664,0.0486975646794574,0.0492990192958228,0.0946855624230998,0.0914775628463846,0.04295803008003,0.053024814799875
"3",3,0.0216383060846478,0.00386901040849216,-0.0460387756060507,-0.0301711499276375,0.000972035625623194,0.0160521861115155,0.0650156649183548,0.0508175135761398,0.0362736411091369,0.0487159472779058,0.0451870995356137,0.0790743281270052,0.0517260216522487,-0.0135665976597737,-0.00516048799839242,-0.0693083913925793,-0.00117745411338601,0.0172991802546153,-0.0497788675772111,0.00358523804143801,-0.030746295970797,-0.0473532931013653,-0.0523660877612983,-0.0806938021546521,-0.0437856532386748,-0.0143848995954552,-0.0132483917577033,-0.00796359711118547
"4",4,0.0505869831400327,0.0176618501695434,0.0709703607732143,0.00476355432379704,-0.0204814376799593,0.0207327565796828,-0.0417810643318428,-0.049223527344972,-0.034235580856669,-0.0258737827252717,-0.00996447598568942,0.012473506892239,0.0241227022773541,-0.000390718735049452,0.0380241881858493,-0.0147504727387189,0.0293888003609208,0.040599099005969,0.0235554149050033,0.0560473518530575,0.0214896136223781,0.0170384881686971,0.0214735284513654,0.00893875113392301,0.0304770096333161,0.0586813736189253,0.0795844047780927,0.0365834104653465
"5",5,0.00216789166643255,0.0217838691595266,0.0204738684708577,0.0259016454398221,0.0207834065709299,0.0331245858103437,-0.00309572314996069,0.0217200002980215,-0.0189006798253632,0.0111654730297603,0.00483168143521998,-0.0218895493190659,0.0487219229429717,-0.015928770994255,0.0370589342430497,0.017257034741874,0.0119872314980799,-0.0170189283603863,-0.0412004778469022,-0.00183655546396853,-0.0109159093933475,0.0197740221627098,0.0337977244549789,0.0513431327102446,0.0511705049578383,0.0159890882595606,-0.0235684200469039,-0.0424596925704631
"6",6,0.0241289874782045,-0.00921078260383047,0.0269485557488331,0.051490483076513,0.0300402009064399,0.0115742365051044,-0.0204603698946,0.00454510375353773,0.012777016275624,-0.0211248119590311,-0.0387898021921601,0.00561871154369079,0.0283907392588935,0.0601257548363814,0.0512912275397737,0.00489629585295783,-0.00979212364245279,0.00592359733360642,0.0359607438474164,0.0388676080177088,0.011121152565555,-0.0107290969872187,0.00364926707007032,0.0220982319311535,-0.0223454951468108,0.0396186760445118,-0.00402742631832639,0.0219268299100376
"7",7,-0.0686525294184111,-0.0417257047306202,-0.0299223014158957,0.00741489967790376,0.00261824196637175,0.0380022251349147,0.0221463061765736,0.00349636117254539,0.00567091218409093,-0.031572912734833,-0.0188925361619322,0.0242503811094187,0.0359498568267474,0.0736928878884205,0.0520272172212782,0.087681842992051,0.100090676235017,0.12107520914252,0.0667510626686632,0.0740493789866749,0.0566258868339967,0.0431374531144922,0.00552706509612652,0.0213237530344302,0.0223878722437136,-0.00203944407244433,0.0425681163235308,-0.0065314366188529
"8",8,0.0660806632637307,0.0715326506729971,0.074147275671991,0.0747420689180098,0.0940210389591787,0.0936271595113372,0.0827538327254723,0.0744256980595432,0.0106743227086349,-0.0056467550130548,-0.049208984060936,-0.0570496850315444,-0.0078978628268129,-0.0289742575973483,-0.0560163185155471,-0.0198016791898706,-0.038750786079572,0.0313597904592569,-0.0448880072778788,-0.0526153267828161,-0.032015610361626,-0.079161833235858,-0.02483051110565,0.00294352341633376,0.0194323449804412,-0.00406179422466849,-0.0225154991264596,0.00988792830244243
"9",9,0.0148706076016255,0.0498352731929147,0.0312185141854769,0.00664006986025539,-0.00194923290795059,-0.0231663630593593,-0.0643839913189429,-0.0159168801263355,0.00425369678403833,0.0339895873331892,0.00818349697187893,0.0414325448664001,0.017488082523034,0.035849293205938,0.0361564220085765,0.0122608779875936,0.00848664532369601,0.0483399715773303,0.0411071835698702,0.0472767160277457,0.0132333484246118,-0.0387507958280518,-0.0830170385585021,-0.0108619131828813,-0.0184408575948672,-0.013067658006932,0.0252976293337891,-0.00937531447312343
"10",10,-0.0494920402698739,-0.0305334696911307,-0.00393687212886185,0.0289400589365162,-0.00402414611284701,0.00249809315567801,-0.0301617211979862,-0.0493914511319826,-0.00275355466409063,-0.0111806445538595,-0.0104340814454287,-0.00707055919661416,-0.0100472232005623,0.00291760791396226,0.041029546900639,-0.0103959867118522,-0.0301543085569462,0.013185880994409,-0.0981488244673929,-0.0532568817985282,-0.0564171772796677,-0.0705411605391225,-0.0309907077037723,0.0430982057833441,0.015265107796929,0.0467014522784265,0.052450902695311,-0.00876192582076359
