"sample_id","min","mean","median","max","sd","skew"
181,171979.17,252692.09,255196.77,309918.97,21836.85,-0.69
182,182083.33,249789.87,250405.09,330196.75,17564.99,0.01
183,172280.09,247674.66,248958.33,294340.28,22485.54,-0.51
184,193553.23,242197.57,242858.8,296527.78,19527.67,-0.08
185,170115.73,238765.14,240740.73,283726.84,21496.11,-0.35
186,193090.28,237022.03,237465.28,287037.03,17545.99,0
187,193159.72,236322.7,237199.08,287465.28,17239.47,-0.13
188,192233.8,239069.33,239583.33,285300.94,18195.79,-0.11
189,195497.69,241096.18,242453.7,292974.53,19524.94,-0.09
190,183136.58,249051.41,251087.97,302002.31,19572.3,-0.34
191,162337.97,242704.7,242708.33,287245.38,17730.28,-0.17
192,136018.52,246449.41,246111.11,332812.53,18386.67,-0.25
193,180428.23,244290.84,244201.39,287476.84,16410.86,-0.17
194,205034.72,248668.84,249675.92,287731.47,16881.69,-0.14
195,198912.03,241226.94,241828.7,292453.72,18516.19,0.03
196,196284.72,237069.2,237511.58,281747.69,17621.91,0.02
